entry,exit,direction,entry_price,atr,win_target,loss_target,result
2026-08-21 17:44:00,2026-08-21 17:45:00,short,423.68,0.15642142857143426,423.5235785714286,423.91463214285716,win
2026-08-21 17:53:00,2026-08-21 17:54:00,long,423.7899,0.17177142857142208,423.96167142857144,423.5322428571429,win
2026-08-21 18:11:00,2026-08-21 18:18:00,short,424.16,0.13535714285714562,424.0246428571429,424.36303571428573,tie
2026-08-21 18:18:00,2026-08-21 18:20:00,long,424.3299,0.11354285714286659,424.4434428571429,424.1595857142857,win
2026-08-21 18:27:00,2026-08-21 18:29:00,short,424.26,0.0878642857142974,424.1721357142857,424.3917964285714,win
2026-08-21 18:45:00,2026-08-21 18:48:00,long,423.98,0.14581428571429456,424.12581428571434,423.7612785714286,win
2026-08-21 19:01:00,2026-08-21 19:03:00,short,424.01,0.11164285714286441,423.89835714285715,424.1774642857143,loss
2026-08-21 19:12:00,2026-08-21 19:16:00,long,423.99,0.15512857142857683,424.1451285714286,423.75730714285714,tie
2026-08-21 19:16:00,2026-08-21 19:19:00,short,423.8,0.14285714285714285,423.65714285714284,424.01428571428573,loss
2026-08-21 19:19:00,2026-08-21 19:27:00,long,424.01,0.11571428571428603,424.12571428571425,423.83642857142854,tie
2026-08-21 19:27:00,2026-08-21 19:28:00,short,423.9,0.1095999999999963,423.7904,424.0644,win
2026-08-21 19:40:00,2026-08-21 19:47:00,long,423.69,0.14885714285714308,423.83885714285714,423.46671428571426,win
2026-08-21 19:56:00,2026-08-21 19:58:00,short,423.725,0.16474271428570628,423.56025728571433,423.97211407142856,win
