time,open,high,low,close,volume,atr,Tankan_sen,Kijun_sen,ssl_up,ssl_down,bull_ema,bear_ema,aroon_up,aroon_down,deadzone,trend_up,trend_down,e1,trend_up_color,trend_down_color
2026-08-20 14:09:00,411.27,411.43,410.35,411.27,493250,0.3622214285714165,411.07500000000005,411.07500000000005,411.033,411.44210999999996,0.06436363636363741,0.05718181818182061,30.0,100.0,1.7255600167742193,0.0,0.03784943785717587,0.8075573407040793,lime,red
2026-08-20 14:10:00,411.25,411.4,411.1,411.395,40340,0.3665071428571269,411.07500000000005,411.07500000000005,411.04949999999997,411.42311,0.06169696969697145,0.048000000000003894,20.0,90.0,1.7194044166064755,0.7842973594222258,-0.0,0.824811592903643,green,orange
2026-08-20 14:11:00,411.4,411.6,411.15,411.4,30015,0.38507857142855884,410.975,411.07500000000005,411.02049999999997,411.41111,0.057045454545455544,0.038030303030307376,10.0,80.0,1.7188603724404123,0.5579531423711614,-0.0,0.8228442328761503,lime,red
2026-08-20 14:12:00,411.39,411.5,411.36,411.45,23428,0.3707928571428454,410.975,411.07500000000005,411.38111,411.00700000000006,0.05606060606060761,0.027212121212125056,0.0,70.0,1.7068517687160076,0.6973364122865178,-0.0,0.842534397235454,green,red
2026-08-20 14:13:00,411.47,411.635,411.25,411.25,25947,0.3843642857142738,410.9925,411.07500000000005,411.39261,411.02,0.05072727272727465,0.03498484848485094,100.0,60.0,1.7040282510288471,0.0,0.9962788196884276,0.8337328866695088,lime,red
2026-08-20 14:14:00,411.23,411.32,411.13,411.22,33016,0.3507928571428473,410.9925,411.07500000000005,411.39661000000007,411.029,0.04348484848485062,0.040515151515150324,90.0,50.0,1.6940179685185586,0.0,1.0913189151671077,0.8277146724240083,green,red
2026-08-20 14:15:00,411.235,411.41,411.125,411.4,52798,0.35114999999998986,410.9925,411.07500000000005,411.42560999999995,411.0425,0.05093939393939136,0.040303030303027065,80.0,40.0,1.687622788833374,0.3543484620530535,-0.0,0.8373416582435311,green,orange
2026-08-20 14:16:00,411.39,411.45,411.22,411.45,24295,0.34579285714284375,410.9925,411.07500000000005,411.43061,411.07849999999996,0.05584848484848056,0.035030303030299074,70.0,30.0,1.6792565609450387,0.5496223506168008,-0.0,0.826981830130876,green,red
2026-08-20 14:17:00,411.47,411.64,411.33,411.47,22569,0.3393642857142741,410.995,411.07500000000005,411.47261,411.1175,0.055424242424241106,0.02987878787878413,100.0,20.0,1.6739339953355887,0.48096659549287324,-0.0,0.7560813100230916,lime,red
2026-08-20 14:18:00,411.48,411.6,411.42,411.49,28177,0.33507857142856373,411.37,411.07500000000005,411.4985,411.1435,0.049666666666666276,0.025151515151511566,90.0,10.0,1.663854655382233,0.42169537316397054,-0.0,0.7168645177713415,lime,red
2026-08-20 14:19:00,411.48,411.485,410.96,410.98,33892,0.36293571428570964,411.29999999999995,411.07500000000005,411.2045,411.504,0.04245454545454508,0.06678787878787454,80.0,0.0,1.6668261088284118,0.0,3.434676044598177,0.6953227194676401,lime,red
2026-08-20 14:20:00,410.98,411.445,410.94,411.445,32509,0.3604357142857119,411.28999999999996,411.07500000000005,411.18850000000003,411.5085,0.0769090909090878,0.08860606060605632,70.0,100.0,1.6688428477401274,0.5830919448374061,-0.0,0.6773718562034219,green,orange
2026-08-20 14:21:00,411.45,411.77,411.38,411.59,41079,0.3682928571428517,411.355,411.07500000000005,411.5255,411.2115,0.10699999999999416,0.09206060606060225,100.0,90.0,1.6665844192627255,1.4268350483052927,-0.0,0.6885224454526906,green,red
2026-08-20 14:22:00,411.57,411.59,411.4,411.46,32408,0.36892857142856883,411.355,411.07500000000005,411.53450000000004,411.21549999999996,0.11527272727272027,0.09042424242423908,90.0,80.0,1.656948575070098,0.09726813451322869,-0.0,0.6779691034705593,lime,red
2026-08-20 14:23:00,411.4795,411.87,411.38,411.84,35530,0.32678571428571346,411.405,411.11,411.558,411.2285,0.13818181818181116,0.08366666666666396,100.0,70.0,1.6585090893193972,2.7160146478223623,-0.0,0.8188849928873196,green,red
2026-08-20 14:24:00,411.88,412.06,411.75,411.78,46842,0.3275000000000026,411.5,411.20500000000004,411.63199999999995,411.29049999999995,0.14160606060605443,0.07945454545454364,100.0,60.0,1.6533939984262034,1.5778130312043004,-0.0,0.8802535519871526,lime,red
2026-08-20 14:25:00,411.74,411.9,411.67,411.67,21547,0.3117857142857109,411.5,411.20500000000004,411.68100000000004,411.34499999999997,0.13136363636363124,0.08003030303029794,90.0,50.0,1.6453700584419402,0.30910449360931125,-0.0,0.838268892920496,lime,red
2026-08-20 14:26:00,411.69,411.71,411.499,411.6,27915,0.3168571428571373,411.5,411.20500000000004,411.707,411.37289999999996,0.11009090909090474,0.08124242424241666,80.0,40.0,1.636723357857519,0.0,0.40124099303000094,0.8141227115548872,lime,red
